OBJECTID,Shape_Length,Shape_Area,F_AREA,longitude,latitude
240,4012.496827163588900,613794.167088202200000,613794.167088201970000,-95.634765274396997,28.750025043108064
241,104075.049960359900000,674195953.554679270000000,674195953.554679040000000,-85.004802594613238,29.122485860041323
242,105048.749183024310000,688121776.949460980000000,688121776.949460980000000,-83.254802594537765,26.872485860098866
243,104406.998249830650000,678954124.766156200000000,678954124.766155960000000,-90.504802594477610,28.372485859851093
244,104186.531726234850000,675794861.648338790000000,675794861.648339030000000,-84.504802594730307,28.872485860186671
245,79428.728256815521000,176527629.770252470000000,176527629.770251990000000,-82.840868117319417,28.144045283785765
246,32330.692925598742000,47724685.645366497000000,47724685.645366497000000,-85.598781070146856,30.030000510366328
247,105859.819288851960000,699614574.928124670000000,699614574.928125020000000,-83.504802594460529,24.872485860132439
248,105561.531647073890000,695403271.288530110000000,695403271.288529990000000,-82.754802594288336,25.622485860207636
249,106077.222303684540000,702752703.272111770000000,702752703.272112010000000,-81.754793158677955,24.122655201982202
250,104725.386023055810000,681351002.605273600000000,681351002.605273960000000,-96.505029663245622,27.622915045793658
251,103437.581928312410000,666432785.774050710000000,666432785.774050950000000,-88.504825778897853,29.123923495838678
252,89539.609003854799000,396322777.418084260000000,396322777.418084030000000,-96.962463546707141,27.845766362687616
253,28304.253070518527000,33970605.025260665000000,33970605.025260702000000,-95.161227672849876,29.019745609963444
254,61149.183976061948000,156818488.603277650000000,156818488.603278010000000,-82.335397659534024,26.819110178211020
255,77757.818173929962000,316158684.606683370000000,316158684.606683020000000,-85.939259042515900,29.124293674071776
256,103874.401317710540000,682473597.682843090000000,682473597.682842970000000,-97.004606739309736,27.622292443776541
257,101677.805014600690000,600679772.840830800000000,600679772.840831040000000,-91.758837001392138,29.359606542088436
258,103962.730096306000000,672584234.030345560000000,672584234.030346040000000,-84.004802594666373,29.372485860123682
259,104075.049885702300000,674195952.431500910000000,674195952.431501030000000,-93.254802594594693,29.122485860150203
260,62401.737667881622000,160746568.032765540000000,160746568.032766010000000,-92.515818030418373,29.528134136572806
261,104246.610857956050000,676774336.719898700000000,676774336.719899060000000,-90.004880330090884,28.622616843795559
262,5803.011960021934100,174279.512649318760000,174279.512649318990000,-88.147407528795867,30.247821117827556
263,62053.055320873238000,88979868.778656900000000,88979868.778656900000000,-97.147269219307660,26.143570717670244
264,103588.390605056380000,668695109.860523940000000,668695109.860524060000000,-89.254884259718750,28.624086691566596
265,103962.730071230540000,672584233.708396910000000,672584233.708397030000000,-88.754802594653995,29.372485859983652
266,104624.166783666880000,682061830.818035840000000,682061830.818035960000000,-84.504802594585527,27.872485859802669
267,84260.923830691914000,456396440.880053700000000,456396440.880054000000000,-94.003059883177784,29.582647508265456
268,106054.830574312170000,702356079.610104320000000,702356079.610103960000000,-82.504802594566797,24.372485860130872
269,103993.926304680890000,674080988.173894050000000,674080988.173894050000000,-91.754802943693761,28.123666251922650
270,104406.998317793860000,678954125.678675060000000,678954125.678675060000000,-94.504802594396224,28.372485859951329
271,84751.668533175820000,313749218.504030880000000,313749218.504031000000000,-85.001632763494030,29.557322392210263
272,104186.531518177010000,675794858.914217000000000,675794858.914217000000000,-95.004802594670977,28.872485859977843
273,92354.781801810299000,522710536.549105350000000,522710536.549104990000000,-82.004725206344546,26.342703933268673
274,7486.625541058551800,1362517.056629509200000,1362517.056629509900000,-87.640792756293592,30.250069463383717
275,85247.546903805836000,357271815.694142700000000,357271815.694143000000000,-82.812050608672479,28.863010302331741
276,122933.614291778040000,665084716.850255970000000,665084716.850255970000000,-97.250991440403126,27.120435675130793
277,8568.181711166891500,2812610.497093656600000,2812610.497093659800000,-83.866388266744977,30.001871386473461
278,104186.531560982970000,675794859.475571160000000,675794859.475571040000000,-91.004802594418820,28.872485860271524
